"response_uuid","Age","Trial","target_prop"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","6",0.603
"19397c83-6941-4f2e-8067-60e5655c55a1","12","1",0.396
"1b9291ee-7904-4319-a182-222c2f7e9ddb","12","1",0.678
"1b9291ee-7904-4319-a182-222c2f7e9ddb","12","2",0.684
"1b9291ee-7904-4319-a182-222c2f7e9ddb","12","4",0.223
"1b9291ee-7904-4319-a182-222c2f7e9ddb","12","5",0.909
"1b9291ee-7904-4319-a182-222c2f7e9ddb","12","6",0.446
"1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","1",0.17
"1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","2",0.669
"1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","3",0.245
"1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","4",0.877
"1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","5",0.311
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","1",0.555
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","2",0.843
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","3",0.177
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","4",0.805
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","1",0.716
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","2",0.47
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","3",0.707
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","4",0.386
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","5",0.781
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","6",0.697
"2422cca0-c228-4211-86c5-809afbcc7a4d","12","1",0.307
"2422cca0-c228-4211-86c5-809afbcc7a4d","12","2",0.586
"2422cca0-c228-4211-86c5-809afbcc7a4d","12","3",0.254
"2422cca0-c228-4211-86c5-809afbcc7a4d","12","4",0.586
"2422cca0-c228-4211-86c5-809afbcc7a4d","12","5",0.321
"2422cca0-c228-4211-86c5-809afbcc7a4d","12","6",0.98
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","1",0.487
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","2",0.323
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","3",0.675
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","4",0.613
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","5",0.239
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","6",0.901
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","1",0.632
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","2",0.678
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","3",0.597
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","4",0.584
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","5",0.512
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","6",0.345
"2b882a59-5857-481e-bda7-cdff7bd8f56e","12","1",0.978
"2b882a59-5857-481e-bda7-cdff7bd8f56e","12","2",0.097
"2b882a59-5857-481e-bda7-cdff7bd8f56e","12","4",0.416
"2b882a59-5857-481e-bda7-cdff7bd8f56e","12","6",0.382
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","1",0.355
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","2",0.398
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","3",0.23
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","4",0.68
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","5",0.097
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","6",0.717
"2f9f948f-d9da-40f2-b5b1-247207217245","12","1",0.518
"2f9f948f-d9da-40f2-b5b1-247207217245","12","2",0.305
"2f9f948f-d9da-40f2-b5b1-247207217245","12","3",0.653
"2f9f948f-d9da-40f2-b5b1-247207217245","12","4",0.411
"2f9f948f-d9da-40f2-b5b1-247207217245","12","5",0.419
"2f9f948f-d9da-40f2-b5b1-247207217245","12","6",0.542
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","1",0.51
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","2",0.421
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","4",0.393
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","5",0.407
"3253da16-238b-4f45-8610-dff84aa897d4","6","1",0.206
"3253da16-238b-4f45-8610-dff84aa897d4","6","2",0.64
"3253da16-238b-4f45-8610-dff84aa897d4","6","3",0.58
"3253da16-238b-4f45-8610-dff84aa897d4","6","4",0.622
"3253da16-238b-4f45-8610-dff84aa897d4","6","5",0.559
"3253da16-238b-4f45-8610-dff84aa897d4","6","6",0.858
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12","1",0.586
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12","3",0.529
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12","4",0.423
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12","5",0.368
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12","6",0.694
"388e70f5-902e-4197-9bf0-61e5f32de097","12","1",0.361
"388e70f5-902e-4197-9bf0-61e5f32de097","12","2",0.641
"388e70f5-902e-4197-9bf0-61e5f32de097","12","3",0.571
"388e70f5-902e-4197-9bf0-61e5f32de097","12","4",0.409
"388e70f5-902e-4197-9bf0-61e5f32de097","12","5",0.684
"388e70f5-902e-4197-9bf0-61e5f32de097","12","6",0.397
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","1",0.231
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","2",0.943
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","3",0.134
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","4",0.603
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","5",0.331
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","6",0.744
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","1",0.595
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","2",0.439
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","3",0.535
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","4",0.378
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","5",0.728
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","6",0.457
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12","1",0.547
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12","2",0.338
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12","3",0.417
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12","5",0.708
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12","6",0.141
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","1",0.553
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","2",0.5
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","3",0.163
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","4",0.748
"542a740b-12ca-43b1-96a0-6b2c2142d327","6","1",0.829
"542a740b-12ca-43b1-96a0-6b2c2142d327","6","3",0.333
"542a740b-12ca-43b1-96a0-6b2c2142d327","6","4",0.746
"542a740b-12ca-43b1-96a0-6b2c2142d327","6","5",0.316
"542a740b-12ca-43b1-96a0-6b2c2142d327","6","6",0.688
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","1",0.503
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","2",0.636
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","4",0.361
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","5",0.891
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","6",0.394
"5864ecf2-7993-4712-9177-f4feeab105ea","12","1",0.482
"5864ecf2-7993-4712-9177-f4feeab105ea","12","2",0.544
"5a7ea095-c369-46ce-9b7e-5538504dce52","6","1",0.222
"5a7ea095-c369-46ce-9b7e-5538504dce52","6","2",0.688
"5a7ea095-c369-46ce-9b7e-5538504dce52","6","4",0.928
"5a7ea095-c369-46ce-9b7e-5538504dce52","6","5",0.367
"5a7ea095-c369-46ce-9b7e-5538504dce52","6","6",0.528
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","1",0.286
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","2",0.137
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","3",0.446
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","4",0.268
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","5",0.087
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","6",0.221
"6cc17b70-29de-481b-8672-f70a2428e0f9","6","1",0.771
"6cc17b70-29de-481b-8672-f70a2428e0f9","6","2",0.151
"6cc17b70-29de-481b-8672-f70a2428e0f9","6","3",0.56
"6cc17b70-29de-481b-8672-f70a2428e0f9","6","4",0.576
"6cc17b70-29de-481b-8672-f70a2428e0f9","6","5",0.738
"8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","1",0.634
"8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","2",0.317
"8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","3",0.414
"8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","4",0.727
"8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","6",0.403
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","1",0.682
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","2",0.307
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","3",0.817
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","4",0.569
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","5",0.519
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","6",0.438
"87596fb5-e33a-4991-961b-e3f5a3ea080f","6","1",0.801
"87596fb5-e33a-4991-961b-e3f5a3ea080f","6","2",0.597
"87596fb5-e33a-4991-961b-e3f5a3ea080f","6","3",0.516
"87596fb5-e33a-4991-961b-e3f5a3ea080f","6","4",0.819
"87596fb5-e33a-4991-961b-e3f5a3ea080f","6","5",0.265
"87596fb5-e33a-4991-961b-e3f5a3ea080f","6","6",0.61
"88ff4560-925e-4786-a72a-41dcb62716b6","12","1",0.571
"88ff4560-925e-4786-a72a-41dcb62716b6","12","2",0.185
"88ff4560-925e-4786-a72a-41dcb62716b6","12","3",0.521
"88ff4560-925e-4786-a72a-41dcb62716b6","12","4",0.259
"88ff4560-925e-4786-a72a-41dcb62716b6","12","5",0.947
"88ff4560-925e-4786-a72a-41dcb62716b6","12","6",0.144
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","1",0.379
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","2",0.719
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","3",0.571
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","4",0.268
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","5",0.419
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","6",0.372
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6","1",0.298
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6","2",0.804
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6","3",0.265
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6","4",0.482
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6","6",0.816
"948f9377-b3b7-4910-87d6-b64eeee52434","6","1",0.489
"948f9377-b3b7-4910-87d6-b64eeee52434","6","3",0.503
"948f9377-b3b7-4910-87d6-b64eeee52434","6","4",0.453
"96525cba-df8a-4248-90f6-220441592b0e","12","1",0.46
"96525cba-df8a-4248-90f6-220441592b0e","12","2",0.312
"96525cba-df8a-4248-90f6-220441592b0e","12","3",0.636
"96525cba-df8a-4248-90f6-220441592b0e","12","5",0.436
"9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","1",0.497
"9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","2",0.47
"9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","3",0.767
"9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","4",0.406
"9ad57cbc-f883-4b58-9b99-63e64c2bf71e","12","5",0.623
"9fd3fdc0-0d1d-4684-8567-479616056287","6","1",0.224
"9fd3fdc0-0d1d-4684-8567-479616056287","6","2",0.537
"9fd3fdc0-0d1d-4684-8567-479616056287","6","3",0.211
"9fd3fdc0-0d1d-4684-8567-479616056287","6","6",0.049
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","1",0.517
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","2",0.536
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","3",0.537
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","6",0.997
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","1",0.705
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","2",0.555
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","3",0.525
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","4",0.571
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","5",0.686
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6","6",0.412
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6","1",0.178
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6","2",0.396
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6","3",0.4
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6","4",0.291
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6","5",0.513
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6","6",0.505
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6","1",0.22
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6","2",0.875
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6","3",0.128
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6","4",0.712
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6","5",0.143
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6","6",0.576
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","1",0.521
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","2",0.417
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","3",0.179
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","4",0.982
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","5",0.14
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","6",0.564
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","1",0.622
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","2",0.383
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","3",0.722
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","4",0.484
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","5",0.511
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","6",0.466
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","1",0.346
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","2",0.512
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","3",0.297
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","4",0.57
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","5",0.396
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","6",0.56
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12","1",0.461
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12","2",0.519
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12","3",0.144
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12","5",0.633
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12","6",0.478
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","1",0.127
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","2",0.705
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","3",0.181
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","4",0.943
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","5",0.263
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","6",0.056
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","1",0.637
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","2",0.69
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","3",0.457
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","4",0.677
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","5",0.364
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","6",0.454
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6","1",0.538
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6","2",0.114
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6","3",0.385
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6","4",0.31
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","1",0.268
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","2",0.373
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","3",0.529
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","4",0.605
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","5",0.344
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","6",0.878
"be476632-1647-4ae8-8497-1d82d41d32b6","6","1",0.31
"be476632-1647-4ae8-8497-1d82d41d32b6","6","2",0.731
"be476632-1647-4ae8-8497-1d82d41d32b6","6","3",0.642
"be476632-1647-4ae8-8497-1d82d41d32b6","6","4",0.745
"be476632-1647-4ae8-8497-1d82d41d32b6","6","5",0.06
"c249ac99-7103-4d9f-a385-6433ef511b7a","6","1",0.581
"c249ac99-7103-4d9f-a385-6433ef511b7a","6","2",0.673
"c249ac99-7103-4d9f-a385-6433ef511b7a","6","3",0.531
"c249ac99-7103-4d9f-a385-6433ef511b7a","6","4",0.677
"c249ac99-7103-4d9f-a385-6433ef511b7a","6","5",0.545
"c249ac99-7103-4d9f-a385-6433ef511b7a","6","6",0.274
"c2518325-256a-47ae-a0f7-d968e9367e31","12","1",0.575
"cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6","1",0.464
"cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6","2",0.258
"cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6","3",0.503
"cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6","4",0.367
"cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6","5",0.691
"cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6","6",0.159
"ce3576ae-b709-4de2-9d36-32dc5df83253","12","1",0.684
"ce3576ae-b709-4de2-9d36-32dc5df83253","12","2",0.265
"ce3576ae-b709-4de2-9d36-32dc5df83253","12","3",0.643
"ce3576ae-b709-4de2-9d36-32dc5df83253","12","4",0.292
"ce3576ae-b709-4de2-9d36-32dc5df83253","12","5",0.636
"ce3576ae-b709-4de2-9d36-32dc5df83253","12","6",0.322
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","1",0.467
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","2",0.439
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","3",0.424
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","4",0.347
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","5",0.725
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","6",0.221
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6","1",0.541
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6","2",0.755
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6","3",0.419
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6","4",0.644
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6","5",0.299
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6","6",0.536
"d7947371-1fbc-444b-9f5b-8c93452af17c","12","1",0.632
"d7947371-1fbc-444b-9f5b-8c93452af17c","12","2",0.623
"d7947371-1fbc-444b-9f5b-8c93452af17c","12","3",0.529
"d7947371-1fbc-444b-9f5b-8c93452af17c","12","4",0.619
"d7947371-1fbc-444b-9f5b-8c93452af17c","12","5",0.575
"d7947371-1fbc-444b-9f5b-8c93452af17c","12","6",0.571
"d9c799e8-ffd9-4845-89d1-0e2432e9f25a","12","1",0.315
"d9c799e8-ffd9-4845-89d1-0e2432e9f25a","12","2",0.559
"d9c799e8-ffd9-4845-89d1-0e2432e9f25a","12","4",0.424
"d9c799e8-ffd9-4845-89d1-0e2432e9f25a","12","5",0.701
"d9c799e8-ffd9-4845-89d1-0e2432e9f25a","12","6",0.056
"da02ea62-68b6-4b32-965d-9676bd328193","12","1",0.734
"da02ea62-68b6-4b32-965d-9676bd328193","12","2",0.683
"da02ea62-68b6-4b32-965d-9676bd328193","12","3",0.36
"da02ea62-68b6-4b32-965d-9676bd328193","12","6",0.554
"daa9097b-722d-4e57-846a-97a5e548e2ce","6","1",0.146
"daa9097b-722d-4e57-846a-97a5e548e2ce","6","2",0.578
"daa9097b-722d-4e57-846a-97a5e548e2ce","6","3",0.339
"daa9097b-722d-4e57-846a-97a5e548e2ce","6","4",0.869
"daa9097b-722d-4e57-846a-97a5e548e2ce","6","5",0.344
"daa9097b-722d-4e57-846a-97a5e548e2ce","6","6",0.938
"dff41178-de67-4642-b884-f99a16e49bb5","12","1",0.486
"dff41178-de67-4642-b884-f99a16e49bb5","12","2",0.384
"dff41178-de67-4642-b884-f99a16e49bb5","12","3",0.625
"dff41178-de67-4642-b884-f99a16e49bb5","12","4",0.62
"dff41178-de67-4642-b884-f99a16e49bb5","12","5",0.604
"dff41178-de67-4642-b884-f99a16e49bb5","12","6",0.594
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6","1",0.396
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6","2",0.655
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6","3",0.445
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6","4",0.717
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6","5",0.484
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6","6",0.531
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12","1",0.247
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12","2",0.705
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12","3",0.164
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12","4",0.646
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12","5",0.137
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12","6",0.936
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6","1",0.317
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6","2",0.617
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6","3",0.261
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6","4",0.612
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6","5",0.251
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6","6",0.942
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12","1",0.381
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12","2",0.76
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12","3",0.401
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12","4",0.806
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12","6",0.828
"ebffac03-2b65-487b-a944-4680e1ebc410","6","1",0.657
"ebffac03-2b65-487b-a944-4680e1ebc410","6","2",0.495
"ebffac03-2b65-487b-a944-4680e1ebc410","6","3",0.707
"ebffac03-2b65-487b-a944-4680e1ebc410","6","4",0.159
"ebffac03-2b65-487b-a944-4680e1ebc410","6","5",0.979
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6","1",0.551
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6","2",0.378
